review_year,review_month,primary_category,avg_rating,total_reviews,pct_recommended
2020,12,Skincare,4.24,11782,0.82
2021,1,Skincare,4.28,19808,0.83
2021,2,Skincare,4.3,18848,0.85
2021,3,Skincare,4.3,18806,0.84
2021,4,Skincare,4.29,22570,0.84
2021,5,Skincare,4.27,19433,0.83
2021,6,Skincare,4.3,18086,0.84
2021,7,Skincare,4.35,14478,0.86
2021,8,Skincare,4.35,15548,0.86
2021,9,Skincare,4.43,16030,0.88
2021,10,Skincare,4.38,13849,0.87
2021,11,Skincare,4.22,10223,0.81
2021,12,Skincare,4.4,14333,0.87
2022,1,Skincare,4.33,22005,0.86
2022,2,Skincare,4.36,17540,0.87
2022,3,Skincare,4.34,18815,0.85
2022,4,Skincare,4.28,18957,0.83
2022,5,Skincare,4.27,14528,0.84
2022,6,Skincare,4.31,14503,0.84
2022,7,Skincare,4.37,17184,0.86
2022,8,Skincare,4.41,21277,0.88
2022,9,Skincare,4.31,15792,0.85
2022,10,Skincare,4.32,11384,0.87
2022,11,Skincare,4.27,8536,0.85
2022,12,Skincare,4.48,11706,0.89
2023,1,Skincare,4.35,16907,0.86
2023,2,Skincare,4.21,16754,0.82
2023,3,Skincare,4.31,15870,0.85
