primary_category,secondary_category,review_year,review_month,avg_rating,total_reviews,avg_price,pct_recommended
Skincare,Cleansers,2017,2,4.4,765,30.2,
Skincare,Cleansers,2017,3,4.55,1387,33.77,
Skincare,Cleansers,2017,4,4.41,710,37.2,
Skincare,Cleansers,2017,5,4.43,607,36.79,
Skincare,Cleansers,2017,6,4.45,692,35.71,
Skincare,Cleansers,2017,7,4.53,1211,32.38,
Skincare,Cleansers,2017,8,4.5,1406,31.89,0.95
Skincare,Cleansers,2017,9,4.56,1712,32.8,0.91
Skincare,Cleansers,2017,10,4.42,770,36.13,0.88
Skincare,Cleansers,2017,11,4.48,989,34.92,0.89
Skincare,Cleansers,2017,12,4.36,1035,35.13,0.86
Skincare,Cleansers,2018,1,4.47,1405,34.1,0.87
Skincare,Cleansers,2018,2,4.42,1304,33.48,0.86
Skincare,Cleansers,2018,3,4.5,1323,34.98,0.89
Skincare,Cleansers,2018,4,4.48,1497,35.95,0.88
Skincare,Cleansers,2018,5,4.52,1246,35.15,0.89
Skincare,Cleansers,2018,6,4.52,1165,36.15,0.9
Skincare,Cleansers,2018,7,4.48,2368,34.17,0.91
Skincare,Cleansers,2018,8,4.51,1609,34.52,0.9
Skincare,Cleansers,2018,9,4.44,1364,35.65,0.86
Skincare,Cleansers,2018,10,4.36,1554,36.09,0.85
Skincare,Cleansers,2018,11,4.28,1568,36.66,0.83
Skincare,Cleansers,2018,12,4.42,1854,35.25,0.88
Skincare,Cleansers,2019,1,4.37,2581,35.61,0.87
Skincare,Cleansers,2019,2,4.35,1802,34.94,0.85
Skincare,Cleansers,2019,3,4.45,2776,34.12,0.88
Skincare,Cleansers,2019,4,4.39,3636,32.73,0.87
Skincare,Cleansers,2019,5,4.32,3267,33.56,0.85
Skincare,Cleansers,2019,6,4.27,2494,34.52,0.84
Skincare,Cleansers,2019,7,4.23,1731,34.63,0.81
Skincare,Cleansers,2019,8,4.2,1970,34.69,0.79
Skincare,Cleansers,2019,9,4.22,1882,34.08,0.81
Skincare,Cleansers,2019,10,4.04,1335,35.05,0.76
Skincare,Cleansers,2019,11,4.18,1478,36.14,0.79
Skincare,Cleansers,2019,12,4.25,1841,35.08,0.83
Skincare,Cleansers,2020,1,4.21,2384,34.02,0.81
Skincare,Cleansers,2020,2,4.37,3599,43.61,0.87
Skincare,Cleansers,2020,3,4.31,2953,37.14,0.85
Skincare,Cleansers,2020,4,4.19,3939,34.35,0.8
Skincare,Cleansers,2020,5,4.28,4681,32.89,0.84
Skincare,Cleansers,2020,6,4.28,3742,35.32,0.84
Skincare,Cleansers,2020,7,4.33,3501,43.86,0.83
Skincare,Cleansers,2020,8,4.39,5014,38.58,0.86
Skincare,Cleansers,2020,9,4.34,3996,38.73,0.87
Skincare,Cleansers,2020,10,4.3,3581,43.74,0.85
Skincare,Cleansers,2020,11,4.16,1875,34.61,0.79
Skincare,Cleansers,2020,12,4.23,1994,33.18,0.81
Skincare,Cleansers,2021,1,4.28,3656,34.14,0.83
Skincare,Cleansers,2021,2,4.33,3188,33.36,0.85
Skincare,Cleansers,2021,3,4.34,3251,33.27,0.85
Skincare,Cleansers,2021,4,4.35,4961,47.02,0.86
Skincare,Cleansers,2021,5,4.25,3861,55.93,0.83
Skincare,Cleansers,2021,6,4.12,2614,48.8,0.79
Skincare,Cleansers,2021,7,4.28,1580,31.53,0.82
Skincare,Cleansers,2021,8,4.28,2065,29.42,0.83
Skincare,Cleansers,2021,9,4.36,2030,31.02,0.85
Skincare,Cleansers,2021,10,4.45,3220,39.09,0.88
Skincare,Cleansers,2021,11,4.16,1996,32.27,0.79
Skincare,Cleansers,2021,12,4.21,1687,31.08,0.81
Skincare,Cleansers,2022,1,4.22,2551,30.78,0.81
Skincare,Cleansers,2022,2,4.27,2172,30.45,0.84
Skincare,Cleansers,2022,3,4.2,2098,31.67,0.8
Skincare,Cleansers,2022,4,4.31,2922,35.54,0.84
Skincare,Cleansers,2022,5,4.26,1918,32.59,0.82
Skincare,Cleansers,2022,6,4.29,1674,35.82,0.82
Skincare,Cleansers,2022,7,4.26,2097,34.62,0.82
Skincare,Cleansers,2022,8,4.46,3976,48.01,0.88
Skincare,Cleansers,2022,9,4.2,1722,32.2,0.81
Skincare,Cleansers,2022,10,4.34,1116,32.81,0.84
Skincare,Cleansers,2022,11,4.22,820,30.56,0.81
Skincare,Cleansers,2022,12,4.43,1434,32.19,0.88
Skincare,Cleansers,2023,1,4.3,1936,31.88,0.85
Skincare,Cleansers,2023,2,4.34,3170,37.21,0.85
Skincare,Cleansers,2023,3,4.3,2701,33.08,0.85
Skincare,Eye Care,2008,8,5.0,1,37.0,
Skincare,Eye Care,2008,9,4.27,98,42.54,
Skincare,Eye Care,2008,10,3.86,42,42.12,
Skincare,Eye Care,2008,11,3.96,45,42.0,
Skincare,Eye Care,2008,12,3.77,44,43.95,
Skincare,Eye Care,2009,1,4.24,45,44.93,
Skincare,Eye Care,2009,2,4.25,32,41.94,
Skincare,Eye Care,2009,3,4.22,82,43.04,
Skincare,Eye Care,2009,4,4.12,65,46.17,
Skincare,Eye Care,2009,5,4.12,76,44.08,
Skincare,Eye Care,2009,6,4.08,60,45.37,
Skincare,Eye Care,2009,7,4.24,58,51.19,
Skincare,Eye Care,2009,8,4.36,66,50.18,
Skincare,Eye Care,2009,9,4.37,51,47.29,
Skincare,Eye Care,2009,10,4.03,37,43.35,
Skincare,Eye Care,2009,11,4.09,35,41.49,
Skincare,Eye Care,2009,12,4.29,52,43.21,
Skincare,Eye Care,2010,1,4.19,67,44.52,
Skincare,Eye Care,2010,2,4.21,66,41.58,
Skincare,Eye Care,2010,3,4.02,166,39.85,
Skincare,Eye Care,2010,4,4.04,97,40.74,
Skincare,Eye Care,2010,5,4.02,135,44.34,
Skincare,Eye Care,2010,6,3.82,94,40.8,
Skincare,Eye Care,2010,7,4.19,93,41.44,
Skincare,Eye Care,2010,8,4.05,103,41.58,
Skincare,Eye Care,2010,9,4.22,49,42.71,
Skincare,Eye Care,2010,10,3.85,67,41.16,
Skincare,Eye Care,2010,11,3.92,60,40.45,
Skincare,Eye Care,2010,12,3.81,124,43.27,
Skincare,Eye Care,2011,1,3.99,85,43.81,
Skincare,Eye Care,2011,2,3.83,60,43.8,
Skincare,Eye Care,2011,3,3.63,52,47.13,
Skincare,Eye Care,2011,4,3.74,80,45.3,
Skincare,Eye Care,2011,5,3.89,63,47.75,
Skincare,Eye Care,2011,6,4.18,38,42.61,
Skincare,Eye Care,2011,7,3.87,55,44.13,
Skincare,Eye Care,2011,8,4.31,49,46.84,
Skincare,Eye Care,2011,9,3.5,14,46.93,
Skincare,Eye Care,2011,10,3.93,59,43.22,
Skincare,Eye Care,2011,11,4.05,77,40.05,
Skincare,Eye Care,2011,12,4.08,92,42.92,
Skincare,Eye Care,2012,1,4.25,99,45.14,
Skincare,Eye Care,2012,2,3.81,103,42.95,
Skincare,Eye Care,2012,3,4.03,91,43.11,
Skincare,Eye Care,2012,4,4.28,29,45.9,
Skincare,Eye Care,2012,5,4.05,41,42.59,
Skincare,Eye Care,2012,6,3.93,46,41.85,
Skincare,Eye Care,2012,7,3.8,51,43.8,
Skincare,Eye Care,2012,8,4.18,55,42.67,
Skincare,Eye Care,2012,9,4.02,54,44.59,
Skincare,Eye Care,2012,10,3.54,67,49.01,
Skincare,Eye Care,2012,11,3.9,83,45.23,
Skincare,Eye Care,2012,12,3.87,114,47.35,
Skincare,Eye Care,2013,1,3.9,116,49.89,
Skincare,Eye Care,2013,2,3.91,99,44.51,
Skincare,Eye Care,2013,3,3.61,101,47.79,
Skincare,Eye Care,2013,4,4.06,107,44.9,
Skincare,Eye Care,2013,5,3.83,98,45.39,
Skincare,Eye Care,2013,6,3.93,73,45.63,
Skincare,Eye Care,2013,7,4.17,63,46.32,
Skincare,Eye Care,2013,8,3.92,62,50.03,
Skincare,Eye Care,2013,9,3.76,37,53.95,
Skincare,Eye Care,2013,10,3.31,52,51.12,
Skincare,Eye Care,2013,11,4.09,75,50.93,
Skincare,Eye Care,2013,12,4.32,91,45.32,
